"adm1","adm3","pop","year","population"
"Kenema District","Niawa Chiefdom","pop","2022","9360"
"Kenema District","Niawa Chiefdom","pop","2023","9638"
"Kenema District","Niawa Chiefdom","pop","2024","9884"
"Kenema District","Niawa Chiefdom","pop","2025","10129.800441641606"
"Bo District","Niawa Lenga Chiefdom","pop","2021","16328"
"Bo District","Niawa Lenga Chiefdom","pop","2022","16714"
"Bo District","Niawa Lenga Chiefdom","pop","2023","17211"
"Bo District","Niawa Lenga Chiefdom","pop","2024","17650"
"Bo District","Niawa Lenga Chiefdom","pop","2025","18088.07240329451"
"Koinadugu District","Nieni Chiefdom","pop","2021","37857"
"Koinadugu District","Nieni Chiefdom","pop","2022","38753"
"Koinadugu District","Nieni Chiefdom","pop","2023","39905"
"Koinadugu District","Nieni Chiefdom","pop","2024","40924"
"Koinadugu District","Nieni Chiefdom","pop","2025","41937.89371550932"
"Kono District","Nimikoro Chiefdom","pop","2021","71634"
"Kono District","Nimikoro Chiefdom","pop","2022","73329"
"Kono District","Nimikoro Chiefdom","pop","2023","75510"
"Kono District","Nimikoro Chiefdom","pop","2024","77436"
"Kono District","Nimikoro Chiefdom","pop","2025","79355.76889601453"
"Kono District","Nimiyama Chiefdom","pop","2021","32957"
"Kono District","Nimiyama Chiefdom","pop","2022","33737"
"Kono District","Nimiyama Chiefdom","pop","2023","34740"
"Kono District","Nimiyama Chiefdom","pop","2024","35626"
"Kono District","Nimiyama Chiefdom","pop","2025","36510.07229844731"
"Kailahun District","Njaluahun Chiefdom","pop","2021","59623"
"Kailahun District","Njaluahun Chiefdom","pop","2022","61034"
"Kailahun District","Njaluahun Chiefdom","pop","2023","62848"
"Kailahun District","Njaluahun Chiefdom","pop","2024","64451"
"Kailahun District","Njaluahun Chiefdom","pop","2025","66048.6583671703"
"Kenema District","Nomo Chiefdom","pop","2021","6425"
"Kenema District","Nomo Chiefdom","pop","2022","6577"
"Kenema District","Nomo Chiefdom","pop","2023","6773"
"Kenema District","Nomo Chiefdom","pop","2024","6946"
"Kenema District","Nomo Chiefdom","pop","2025","7118.454317458373"
"Bonthe District","Nongoba Bullom Chiefdom","pop","2021","23471"
"Bonthe District","Nongoba Bullom Chiefdom","pop","2022","24026"
"Bonthe District","Nongoba Bullom Chiefdom","pop","2023","24740"
"Bonthe District","Nongoba Bullom Chiefdom","pop","2024","25371"
"Bonthe District","Nongoba Bullom Chiefdom","pop","2025","26000.35435109866"
"Kenema District","Nongowa Chiefdom","pop","2021","53308"
"Kenema District","Nongowa Chiefdom","pop","2022","54570"
"Kenema District","Nongowa Chiefdom","pop","2023","56193"
"Kenema District","Nongowa Chiefdom","pop","2024","57626"
"Kenema District","Nongowa Chiefdom","pop","2025","59054.177130521595"
"Falaba District","Nyedu Chiefdom","pop","2021","5955"
"Falaba District","Nyedu Chiefdom","pop","2022","6096"
"Falaba District","Nyedu Chiefdom","pop","2023","6279"
"Falaba District","Nyedu Chiefdom","pop","2024","6438"
"Falaba District","Nyedu Chiefdom","pop","2025","6598.56720438557"
"Bombali District","Paki Masabong Chiefdom","pop","2021","23260"
"Bombali District","Paki Masabong Chiefdom","pop","2022","23810"
"Bombali District","Paki Masabong Chiefdom","pop","2023","24519"
"Bombali District","Paki Masabong Chiefdom","pop","2024","25144"
"Bombali District","Paki Masabong Chiefdom","pop","2025","25767.404933125654"
"Pujehun District","Kpanga Chiefdom","pop","2021","53553"
"Pujehun District","Kpanga Chiefdom","pop","2022","54820"
"Pujehun District","Kpanga Chiefdom","pop","2023","56450"
"Pujehun District","Kpanga Chiefdom","pop","2024","57891"
"Pujehun District","Kpanga Chiefdom","pop","2025","59326.11808197506"
"Pujehun District","Kpanga Krim Chiefdom","pop","2021","10494"
"Pujehun District","Kpanga Krim Chiefdom","pop","2022","10742"
"Pujehun District","Kpanga Krim Chiefdom","pop","2023","11062"
"Pujehun District","Kpanga Krim Chiefdom","pop","2024","11344"
"Pujehun District","Kpanga Krim Chiefdom","pop","2025","11625.475674635669"
"Pujehun District","Peje Chiefdom","pop","2021","15912"
"Pujehun District","Peje Chiefdom","pop","2022","16289"
"Pujehun District","Peje Chiefdom","pop","2023","16773"
"Pujehun District","Peje Chiefdom","pop","2024","17201"
"Pujehun District","Peje Chiefdom","pop","2025","17627.172481897273"
"Kailahun District","Penguia Chiefdom","pop","2021","30739"
"Kailahun District","Penguia Chiefdom","pop","2022","31466"
"Kailahun District","Penguia Chiefdom","pop","2023","32402"
"Kailahun District","Penguia Chiefdom","pop","2024","33229"
"Kailahun District","Penguia Chiefdom","pop","2025","34052.60590626857"
"Pujehun District","Perri Chiefdom","pop","2021","36716"
"Pujehun District","Perri Chiefdom","pop","2022","37585"
"Pujehun District","Perri Chiefdom","pop","2023","38703"
"Pujehun District","Perri Chiefdom","pop","2024","39691"
"Pujehun District","Perri Chiefdom","pop","2025","40675.16790048827"
"Tonkolili District","Gbokolenken Polie Chiefdom","pop","2021","9536"
"Tonkolili District","Gbokolenken Polie Chiefdom","pop","2022","9761"
"Tonkolili District","Gbokolenken Polie Chiefdom","pop","2023","10052"
"Tonkolili District","Gbokolenken Polie Chiefdom","pop","2024","10308"
"Tonkolili District","Gbokolenken Polie Chiefdom","pop","2025","10564.7060073852"
"Port Loko District","Port Loko City","pop","2021","50354"
"Port Loko District","Port Loko City","pop","2022","51546"
"Port Loko District","Port Loko City","pop","2023","53078"
"Port Loko District","Port Loko City","pop","2024","54433"
"Port Loko District","Port Loko City","pop","2025","55781.88766689221"
"Moyamba District","Ribbi Chiefdom","pop","2021","38804"
"Moyamba District","Ribbi Chiefdom","pop","2022","39722"
"Moyamba District","Ribbi Chiefdom","pop","2023","40903"
"Moyamba District","Ribbi Chiefdom","pop","2024","41946"
"Moyamba District","Ribbi Chiefdom","pop","2025","42985.66620493297"
"Karene District","Romende Chiefdom","pop","2021","24696"
"Karene District","Romende Chiefdom","pop","2022","25280"
"Karene District","Romende Chiefdom","pop","2023","26032"
"Karene District","Romende Chiefdom","pop","2024","26696"
"Karene District","Romende Chiefdom","pop","2025","27358.059542546478"
"Karene District","Safroko Chiefdom","pop","2021","12847"
"Karene District","Safroko Chiefdom","pop","2022","13151"
"Karene District","Safroko Chiefdom","pop","2023","13542"
"Karene District","Safroko Chiefdom","pop","2024","13888"
"Karene District","Safroko Chiefdom","pop","2025","14231.90972036797"
"Bombali District","Safroko Limba Chiefdom","pop","2021","36570"
"Bombali District","Safroko Limba Chiefdom","pop","2022","37435"
"Bombali District","Safroko Limba Chiefdom","pop","2023","38548"
"Bombali District","Safroko Limba Chiefdom","pop","2024","39532"
"Bombali District","Safroko Limba Chiefdom","pop","2025","40512.20328619814"
"Tonkolili District","Sambaya Bendugu Chiefdom","pop","2021","37432"
"Tonkolili District","Sambaya Bendugu Chiefdom","pop","2022","38318"
"Tonkolili District","Sambaya Bendugu Chiefdom","pop","2023","39457"
"Tonkolili District","Sambaya Bendugu Chiefdom","pop","2024","40463"
"Tonkolili District","Sambaya Bendugu Chiefdom","pop","2025","41465.996182104784"
"Kambia District","Samu Chiefdom","pop","2021","75805"
"Kambia District","Samu Chiefdom","pop","2022","77599"
"Kambia District","Samu Chiefdom","pop","2023","79907"
"Kambia District","Samu Chiefdom","pop","2024","81945"
"Kambia District","Samu Chiefdom","pop","2025","83975.76572199419"
"Karene District","Sanda Loko Chiefdom","pop","2021","52738"
"Karene District","Sanda Loko Chiefdom","pop","2022","53987"
"Karene District","Sanda Loko Chiefdom","pop","2023","55592"
"Karene District","Sanda Loko Chiefdom","pop","2024","57010"
"Karene District","Sanda Loko Chiefdom","pop","2025","58422.31433155619"
"Karene District","Sanda Magbolonthor Chiefdom","pop","2021","27766"
"Karene District","Sanda Magbolonthor Chiefdom","pop","2022","28423"
"Karene District","Sanda Magbolonthor Chiefdom","pop","2023","29268"
"Karene District","Sanda Magbolonthor Chiefdom","pop","2024","30014"
"Karene District","Sanda Magbolonthor Chiefdom","pop","2025","30758.321218624562"
"Karene District","Sanda Tendaren Chiefdom","pop","2021","30687"
"Karene District","Sanda Tendaren Chiefdom","pop","2022","31413"
"Karene District","Sanda Tendaren Chiefdom","pop","2023","32348"
"Karene District","Sanda Tendaren Chiefdom","pop","2024","33173"
"Karene District","Sanda Tendaren Chiefdom","pop","2025","33995.61828041251"
"Kono District","Sandor Chiefdom","pop","2021","105160"
"Kono District","Sandor Chiefdom","pop","2022","107649"
"Kono District","Sandor Chiefdom","pop","2023","110849"
"Kono District","Sandor Chiefdom","pop","2024","113677"
"Kono District","Sandor Chiefdom","pop","2025","116493.70486178824"
"Bo District","Selenga Chiefdom","pop","2021","10735"
"Bo District","Selenga Chiefdom","pop","2022","10989"
"Bo District","Selenga Chiefdom","pop","2023","11316"
"Bo District","Selenga Chiefdom","pop","2024","11606"
"Bo District","Selenga Chiefdom","pop","2025","11893.417494450114"
"Karene District","Sella Limba Chiefdom","pop","2021","68330"
"Karene District","Sella Limba Chiefdom","pop","2022","69947"
"Karene District","Sella Limba Chiefdom","pop","2023","72027"
"Karene District","Sella Limba Chiefdom","pop","2024","73864"
"Karene District","Sella Limba Chiefdom","pop","2025","75694.56388049028"
"Koinadugu District","Sengbeh Chiefdom","pop","2021","29000"
"Koinadugu District","Sengbeh Chiefdom","pop","2022","29686"
"Koinadugu District","Sengbeh Chiefdom","pop","2023","30569"
"Koinadugu District","Sengbeh Chiefdom","pop","2024","31349"
"Koinadugu District","Sengbeh Chiefdom","pop","2025","32127.024022079688"
"Kenema District","Simbaru Chiefdom","pop","2021","20355"
"Kenema District","Simbaru Chiefdom","pop","2022","20836"
"Kenema District","Simbaru Chiefdom","pop","2023","21457"
"Kenema District","Simbaru Chiefdom","pop","2024","22004"
"Kenema District","Simbaru Chiefdom","pop","2025","22549.103746623055"
"Tonkolili District","Simiria Chiefdom","pop","2021","32743"
"Tonkolili District","Simiria Chiefdom","pop","2022","33518"
"Tonkolili District","Simiria Chiefdom","pop","2023","34515"
"Tonkolili District","Simiria Chiefdom","pop","2024","35396"
"Tonkolili District","Simiria Chiefdom","pop","2025","36273.123748835285"
"Bonthe District","Sittia Chiefdom","pop","2021","24976"
"Bonthe District","Sittia Chiefdom","pop","2022","25567"
"Bonthe District","Sittia Chiefdom","pop","2023","26328"
"Bonthe District","Sittia Chiefdom","pop","2024","26999"
"Bonthe District","Sittia Chiefdom","pop","2025","27667.99224457065"
"Kenema District","Small Bo Chiefdom","pop","2021","34513"
"Kenema District","Small Bo Chiefdom","pop","2022","35330"
"Kenema District","Small Bo Chiefdom","pop","2023","36380"
"Kenema District","Small Bo Chiefdom","pop","2024","37308"
"Kenema District","Small Bo Chiefdom","pop","2025","38232.69825195585"
"Kono District","Soa Chiefdom","pop","2021","45923"
"Kono District","Soa Chiefdom","pop","2022","47010"
"Kono District","Soa Chiefdom","pop","2023","48408"
"Kono District","Soa Chiefdom","pop","2024","49643"
"Kono District","Soa Chiefdom","pop","2025","50872.95357999324"
"Bonthe District","Sogbini Chiefdom","pop","2021","12710"
"Bonthe District","Sogbini Chiefdom","pop","2022","13011"
"Bonthe District","Sogbini Chiefdom","pop","2023","13398"
"Bonthe District","Sogbini Chiefdom","pop","2024","13740"
"Bonthe District","Sogbini Chiefdom","pop","2025","14080.942500994906"
"Pujehun District","Soro Gbeima Chiefdom","pop","2021","49482"
"Pujehun District","Soro Gbeima Chiefdom","pop","2022","50653"
"Pujehun District","Soro Gbeima Chiefdom","pop","2023","52159"
"Pujehun District","Soro Gbeima Chiefdom","pop","2024","53490"
"Pujehun District","Soro Gbeima Chiefdom","pop","2025","54816.0973760685"
"Pujehun District","Sowa Chiefdom","pop","2021","20049"
"Pujehun District","Sowa Chiefdom","pop","2022","20524"
"Pujehun District","Sowa Chiefdom","pop","2023","21135"
"Pujehun District","Sowa Chiefdom","pop","2024","21673"
"Pujehun District","Sowa Chiefdom","pop","2025","22211.177123125733"
"Falaba District","Sulima Chiefdom","pop","2021","31201"
"Falaba District","Sulima Chiefdom","pop","2022","31939"
"Falaba District","Sulima Chiefdom","pop","2023","32889"
"Falaba District","Sulima Chiefdom","pop","2024","33728"
"Falaba District","Sulima Chiefdom","pop","2025","34564.49475606333"
"Karene District","Tambaka Simibungie Chiefdom","pop","2021","16415"
"Karene District","Tambaka Simibungie Chiefdom","pop","2022","16804"
"Karene District","Tambaka Simibungie Chiefdom","pop","2023","17304"
"Karene District","Tambaka Simibungie Chiefdom","pop","2024","17745"
"Karene District","Tambaka Simibungie Chiefdom","pop","2025","18185.05134554078"
"Karene District","Tambaka Yobangie Chiefdom","pop","2021","28622"
"Karene District","Tambaka Yobangie Chiefdom","pop","2022","29299"
"Karene District","Tambaka Yobangie Chiefdom","pop","2023","30171"
"Karene District","Tambaka Yobangie Chiefdom","pop","2024","30940"
"Karene District","Tambaka Yobangie Chiefdom","pop","2025","31707.11519998242"
"Koinadugu District","Thamiso Chiefdom","pop","2021","7306"
"Koinadugu District","Thamiso Chiefdom","pop","2022","7478"
"Koinadugu District","Thamiso Chiefdom","pop","2023","7701"
"Koinadugu District","Thamiso Chiefdom","pop","2024","7898"
"Koinadugu District","Thamiso Chiefdom","pop","2025","8093.242654469878"
"Tonkolili District","Tane Chiefdom","pop","2021","38944"
"Tonkolili District","Tane Chiefdom","pop","2022","39866"
"Tonkolili District","Tane Chiefdom","pop","2023","41051"
"Tonkolili District","Tane Chiefdom","pop","2024","42098"
"Tonkolili District","Tane Chiefdom","pop","2025","43141.63233885481"
"Kono District","Tankoro Chiefdom","pop","2021","9946"
"Kono District","Tankoro Chiefdom","pop","2022","10182"
"Kono District","Tankoro Chiefdom","pop","2023","10485"
"Kono District","Tankoro Chiefdom","pop","2024","10753"
"Kono District","Tankoro Chiefdom","pop","2025","11019.607231323904"
"Port Loko District","Tainkatopa Chiefdom","pop","2021","12050"
"Port Loko District","Tainkatopa Chiefdom","pop","2022","12335"
"Port Loko District","Tainkatopa Chiefdom","pop","2023","12702"
"Port Loko District","Tainkatopa Chiefdom","pop","2024","13027"
"Port Loko District","Tainkatopa Chiefdom","pop","2025","13350.101193963716"
"Bo District","Tikonko Chiefdom","pop","2021","62252"
"Bo District","Tikonko Chiefdom","pop","2022","63725"
"Bo District","Tikonko Chiefdom","pop","2023","65620"
"Bo District","Tikonko Chiefdom","pop","2024","67294"
"Bo District","Tikonko Chiefdom","pop","2025","68962.0257661975"
"Moyamba District","Timdale Chiefdom","pop","2021","12042"
"Moyamba District","Timdale Chiefdom","pop","2022","12327"
"Moyamba District","Timdale Chiefdom","pop","2023","12693"
"Moyamba District","Timdale Chiefdom","pop","2024","13017"
"Moyamba District","Timdale Chiefdom","pop","2025","13340.103364866163"
"Kono District","Toli Chiefdom","pop","2021","5904"
"Kono District","Toli Chiefdom","pop","2022","6044"
"Kono District","Toli Chiefdom","pop","2023","6224"
"Kono District","Toli Chiefdom","pop","2024","6383"
"Kono District","Toli Chiefdom","pop","2025","6541.579578529514"
"Kambia District","Tonko Limba Chiefdom","pop","2021","68531"
"Kambia District","Tonko Limba Chiefdom","pop","2022","70153"
"Kambia District","Tonko Limba Chiefdom","pop","2023","72239"
"Kambia District","Tonko Limba Chiefdom","pop","2024","74082"
"Kambia District","Tonko Limba Chiefdom","pop","2025","75917.51546936574"
"Kenema District","Tunkia Chiefdom","pop","2021","42184"
"Kenema District","Tunkia Chiefdom","pop","2022","43182"
"Kenema District","Tunkia Chiefdom","pop","2023","44466"
"Kenema District","Tunkia Chiefdom","pop","2024","45600"
"Kenema District","Tunkia Chiefdom","pop","2025","46730.85298487666"
"Kailahun District","Upper Bambara Chiefdom","pop","2021","31413"
"Kailahun District","Upper Bambara Chiefdom","pop","2022","32156"
"Kailahun District","Upper Bambara Chiefdom","pop","2023","33112"
"Kailahun District","Upper Bambara Chiefdom","pop","2024","33957"
"Kailahun District","Upper Bambara Chiefdom","pop","2025","34798.44395694609"
"Moyamba District","Upper Banta Chiefdom","pop","2021","12300"
"Moyamba District","Upper Banta Chiefdom","pop","2022","12591"
"Moyamba District","Upper Banta Chiefdom","pop","2023","12966"
"Moyamba District","Upper Banta Chiefdom","pop","2024","13297"
"Moyamba District","Upper Banta Chiefdom","pop","2025","13627.041059965959"
"Bo District","Valunia Chiefdom","pop","2021","41603"
"Bo District","Valunia Chiefdom","pop","2022","42588"
"Bo District","Valunia Chiefdom","pop","2023","43854"
"Bo District","Valunia Chiefdom","pop","2024","44973"
"Bo District","Valunia Chiefdom","pop","2025","46087.992573903946"
"Kenema District","Wandor Chiefdom","pop","2021","23782"
"Kenema District","Wandor Chiefdom","pop","2022","24345"
"Kenema District","Wandor Chiefdom","pop","2023","25068"
"Kenema District","Wandor Chiefdom","pop","2024","25708"
"Kenema District","Wandor Chiefdom","pop","2025","26345.279454964268"
"Koinadugu District","Wara Wara Bafodia Chiefdom","pop","2021","26231"
"Koinadugu District","Wara Wara Bafodia Chiefdom","pop","2022","26851"
"Koinadugu District","Wara Wara Bafodia Chiefdom","pop","2023","27650"
"Koinadugu District","Wara Wara Bafodia Chiefdom","pop","2024","28355"
"Koinadugu District","Wara Wara Bafodia Chiefdom","pop","2025","29058.6902720404"
"Koinadugu District","Wara Wara Yagala Chiefdom","pop","2021","42290"
"Koinadugu District","Wara Wara Yagala Chiefdom","pop","2022","43291"
"Koinadugu District","Wara Wara Yagala Chiefdom","pop","2023","44579"
"Koinadugu District","Wara Wara Yagala Chiefdom","pop","2024","45716"
"Koinadugu District","Wara Wara Yagala Chiefdom","pop","2025","46849.82715113755"
"Western Rural District","Waterloo Rural Zone","pop","2021","250124"
"Western Rural District","Waterloo Rural Zone","pop","2022","256043"
"Western Rural District","Waterloo Rural Zone","pop","2023","263654"
"Western Rural District","Waterloo Rural Zone","pop","2024","270380"
"Western Rural District","Waterloo Rural Zone","pop","2025","277079.8356096087"
"Western Urban District","West 1 Zone","pop","2021","63159"
"Western Urban District","West 1 Zone","pop","2022","64653"
"Western Urban District","West 1 Zone","pop","2023","66575"
"Western Urban District","West 1 Zone","pop","2024","68274"
"Western Urban District","West 1 Zone","pop","2025","69965.80780759192"
"Western Urban District","West 2 Zone","pop","2021","152276"
"Western Urban District","West 2 Zone","pop","2022","155880"
"Western Urban District","West 2 Zone","pop","2023","160514"
"Western Urban District","West 2 Zone","pop","2024","164609"
"Western Urban District","West 2 Zone","pop","2025","168688.3714484781"
"Western Urban District","West 3 Zone","pop","2021","220637"
"Western Urban District","West 3 Zone","pop","2022","225858"
"Western Urban District","West 3 Zone","pop","2023","232572"
"Western Urban District","West 3 Zone","pop","2024","238505"
"Western Urban District","West 3 Zone","pop","2025","244414.92838208057"
"Falaba District","Barawa Wollay Chiefdom","pop","2021","27584"
"Falaba District","Barawa Wollay Chiefdom","pop","2022","28237"
"Falaba District","Barawa Wollay Chiefdom","pop","2023","29076"
"Falaba District","Barawa Wollay Chiefdom","pop","2024","29819"
"Falaba District","Barawa Wollay Chiefdom","pop","2025","30558.364636673483"
"Bo District","Wonde Chiefdom","pop","2021","17907"
"Bo District","Wonde Chiefdom","pop","2022","18331"
"Bo District","Wonde Chiefdom","pop","2023","18876"
"Bo District","Wonde Chiefdom","pop","2024","19357"
"Bo District","Wonde Chiefdom","pop","2025","19836.692712456686"
"Pujehun District","Yakemoh Kpukumu Krim Chiefdom","pop","2021","16174"
"Pujehun District","Yakemoh Kpukumu Krim Chiefdom","pop","2022","16557"
"Pujehun District","Yakemoh Kpukumu Krim Chiefdom","pop","2023","17050"
"Pujehun District","Yakemoh Kpukumu Krim Chiefdom","pop","2024","17485"
"Pujehun District","Yakemoh Kpukumu Krim Chiefdom","pop","2025","17919.109091545848"
"Bonthe District","Yawbeko Chiefdom","pop","2021","8870"
"Bonthe District","Yawbeko Chiefdom","pop","2022","9080"
"Bonthe District","Yawbeko Chiefdom","pop","2023","9351"
"Bonthe District","Yawbeko Chiefdom","pop","2024","9589"
"Bonthe District","Yawbeko Chiefdom","pop","2025","9827.86600289548"
"Kailahun District","Yawei Chiefdom","pop","2021","34307"
"Kailahun District","Yawei Chiefdom","pop","2022","35119"
"Kailahun District","Yawei Chiefdom","pop","2023","36164"
"Kailahun District","Yawei Chiefdom","pop","2024","37087"
"Kailahun District","Yawei Chiefdom","pop","2025","38005.74753144138"
"Tonkolili District","Gbokolenken Yele Chiefdom","pop","2021","27775"
"Tonkolili District","Gbokolenken Yele Chiefdom","pop","2022","28432"
"Tonkolili District","Gbokolenken Yele Chiefdom","pop","2023","29278"
"Tonkolili District","Gbokolenken Yele Chiefdom","pop","2024","30025"
"Tonkolili District","Gbokolenken Yele Chiefdom","pop","2025","30769.31883063187"
"Tonkolili District","Yoni Mabanta Chiefdom","pop","2021","38963"
"Tonkolili District","Yoni Mabanta Chiefdom","pop","2022","39885"
"Tonkolili District","Yoni Mabanta Chiefdom","pop","2023","41071"
"Tonkolili District","Yoni Mabanta Chiefdom","pop","2024","42119"
"Tonkolili District","Yoni Mabanta Chiefdom","pop","2025","43162.62777995968"
"Tonkolili District","Yoni Mamala Chiefdom","pop","2021","92677"
"Tonkolili District","Yoni Mamala Chiefdom","pop","2022","94870"
"Tonkolili District","Yoni Mamala Chiefdom","pop","2023","97691"
"Tonkolili District","Yoni Mamala Chiefdom","pop","2024","100183"
"Tonkolili District","Yoni Mamala Chiefdom","pop","2025","102665.70743696144"
"Western Rural District","York Rural Zone","pop","2021","151612"
"Western Rural District","York Rural Zone","pop","2022","155200"
"Western Rural District","York Rural Zone","pop","2023","159814"
"Western Rural District","York Rural Zone","pop","2024","163891"
"Western Rural District","York Rural Zone","pop","2025","167952.53122689814"
